Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA0325	-	1.75	0.63	3.18	0.36	K11071	COG1176	Amino acid transport and metabolism
PA0326	-	2.46	0.094	1.69	0.74	K02052	COG3842	Amino acid transport and metabolism
PA0327	-	4.09	0.00018	3.18	0.35	-	COG3204	Function unknown
PA0328	-	3.92	0.002	3.21	0.16	-	COG5571	Cell motility and secretion
PA0329	-	1.46	0.56	0.74	0.39	K09946	COG3422	Function unknown
PA0330	rpiA	0.34	0.00063	0.16	0.000011	K01807	COG0120	Carbohydrate transport and metabolism
PA0331	-	0.41	0.0028	0.16	0.00092	K01754	COG1171	Amino acid transport and metabolism
PA0332	-	0.68	0.18	0.32	0.044	-	COG5528	Function unknown
PA0333	-	0.71	0.22	0.59	0.16	-	COG0702	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism
PA0334	-	6.73	0.000000022	33.26	3.1E-16	-	-	-
PA0335	-	0.93	0.73	1.14	0.92	-	COG0560	Amino acid transport and metabolism
PA0336	ygdP	0.56	0.027	0.18	0.0000028	K08311	COG0494	DNA replication, recombination, and repair / General function prediction only
PA0337	ptsP	0.73	0.28	0.23	0.000056	K08484	COG3605	Signal transduction mechanisms
PA0338	-	0.54	0.036	0.29	0.0041	-	COG2199	Signal    transduction mechanisms
PA0339	-	0.66	0.3	0.58	0.61	-	COG3332	Function unknown
PA0340	-	0.47	0.026	0.36	0.1	K07090	COG0730	General function prediction only
PA0341	-	0.41	0.0029	0.34	0.022	K13292	COG0682	Cell envelope biogenesis, outer membrane
PA0342	thyA	0.3	0.00015	0.18	0.0003	K00560	COG0207	Nucleotide transport and metabolism
PA0343	-	1.03	0.89	1.64	0.71	-	-	-
PA0344	-	0.93	0.91	1.28	0.67	-	-	-
PA0345	-	0.95	0.75	1.26	0.92	-	-	-
PA0346	-	2.93	0.0085	2.09	0.59	-	-	-
PA0347	glpQ	3.1	0.074	3.9	0.33	K01126	COG0584	Energy production and conversion
PA0348	-	2.14	0.11	1.88	0.64	-	-	-
PA0349	-	2.54	0.095	4.16	0.37	-	-	-
PA0350	folA	0.52	0.35	0.22	0.51	K00287	COG0262	Coenzyme metabolism
PA0351	-	1.25	0.54	0.68	0.88	K07095	COG0622	General function prediction only
PA0352	-	0.45	0.014	0.37	0.11	K16345	COG2233	Nucleotide transport and metabolism
PA0353	ilvD	0.5	0.014	0.31	0.0075	K01687	COG0129	Amino acid transport and metabolism / Carbohydrate transport and metabolism
PA0354	-	0.41	0.0039	0.45	0.096	K06969	COG1092	General function prediction only
PA0355	pfpI	18.52	0.023	37.14	0.0053	K05520	COG0693	General function prediction only
PA0356	-	0.39	0.0023	0.94	0.92	-	COG1639	Signal transduction mechanisms
PA0357	mutM	0.74	0.23	0.37	0.049	K10563	COG0266	DNA replication, recombination, and repair
PA0358	-	0.35	0.0074	0.18	0.023	-	COG0204	Lipid metabolism
PA0359	-	2.04	0.058	0.73	0.89	-	-	-
PA0360	-	0.95	0.81	0.6	0.79	K07126	COG0790	General function prediction only
PA0361	-	0.45	0.015	0.44	0.36	K00681	COG0405	Amino acid transport and metabolism
PA0362	fdx1	1.23	1	0.25	0.0019	-	-	-
PA0363	coaD	0.23	0.00013	0.1	0.000048	K00954	COG0669	Coenzyme metabolism
PA0364	-	3.56	0.00099	16.63	0.000000049	-	COG2303	Amino acid transport and metabolism
PA0365	-	2.06	0.57	5.74	0.25	-	-	-
PA0366	-	3.54	0.002	4.43	0.065	K00154	COG1012	Energy production and conversion
PA0367	-	3.4	0.00022	8.9	0.0000012	-	COG1309	Transcription
PA0368	-	0.92	0.82	1.01	0.9	K07019	COG0429	General function prediction only
PA0369	-	0.48	0.25	0.97	1	-	-	-
PA0370	-	1.3	0.7	1.84	0.42	K08316	COG0742	DNA replication, recombination, and repair
PA0371	-	0.67	0.24	0.73	0.63	-	COG0612	General function prediction only
PA0372	-	0.86	0.69	0.66	1	-	COG0612	General function prediction only
PA0373	ftsY	0.42	0.0031	0.28	0.00067	K03110	COG0552	Intracellular trafficking and secretion
PA0374	ftsE	0.23	0.000002	0.23	0.0045	K09812	COG2884	Cell division and chromosome partitioning
PA0375	ftsX	1.15	0.96	0.86	0.44	K09811	COG2177	Cell division and chromosome partitioning
PA0376	rpoH	0.72	0.23	0.8	0.44	K03089	COG0568	Transcription
PA0377	-	0.73	0.32	0.62	0.33	-	-	-
PA0378	-	0.37	0.018	0.23	0.037	K03814	COG0744	Cell envelope biogenesis, outer membrane
PA0379	-	0.54	0.36	0.35	0.47	-	COG2363	Function unknown
PA0380	-	0.21	0.00000017	0.16	0.00026	K03154	COG2104	Coenzyme metabolism
PA0381	thiG	0.25	0.000069	0.28	0.021	K03149	COG2022	Nucleotide transport and metabolism
PA0382	micA	0.25	0.0000032	0.21	0.00073	K03439	COG0220	General function prediction only
PA0383	-	0.35	0.0013	0.18	0.012	-	-	-
PA0384	-	0.51	0.47	0.71	0.81	-	-	-
PA0385	-	0.42	0.11	0.25	0.62	-	-	-
PA0386	-	0.41	0.069	1.16	0.92	K02495	COG0635	Coenzyme metabolism
PA0387	-	1.03	0.96	0.3	0.023	K02428	COG0127	Nucleotide transport and metabolism
PA0388	-	1.42	0.19	1.35	0.65	-	-	-
PA0389	-	0.72	0.48	0.42	0.14	-	COG2226	Coenzyme metabolism
PA0390	metX	0.35	0.00091	0.15	0.0000089	K00641	COG2021	Amino acid transport and metabolism
PA0391	-	3.48	0.000027	1.61	0.67	-	COG0699	General function prediction only
PA0392	-	0.33	0.0024	0.48	0.28	K02221	COG0762	Function unknown
PA0393	proC	0.25	0.00057	0.48	0.67	K00286	COG0345	Amino acid transport and metabolism
PA0394	-	0.73	0.41	1.18	0.65	K06997	COG0325	General function prediction only
PA0395	pilT	1.03	0.91	0.37	0.12	K02669	COG2805	Cell motility and secretion / Intracellular trafficking and secretion
PA0396	pilU	4.84	0.00000013	1.83	0.37	K02670	COG5008	Cell motility and secretion / Intracellular trafficking and secretion
PA0397	-	1.87	0.25	1.58	0.72	K16264	COG1230	Inorganic ion transport and metabolism
PA0398	-	0.7	0.37	0.3	0.27	-	COG2314	Function unknown
PA0399	-	2.38	0.0096	1.93	0.49	K01697	COG0031	Amino acid transport and metabolism
PA0400	-	1.12	0.97	0.64	0.53	K01758	COG0626	Amino acid transport and metabolism
PA0401	-	0.77	0.44	0.9	0.79	K01465	COG0044	Nucleotide transport and metabolism
PA0402	pyrB	0.65	0.2	0.35	0.13	K00609	COG0540	Nucleotide transport and metabolism
PA0403	pyrR	0.83	0.52	0.54	0.33	K02825	COG2065	Nucleotide transport and metabolism
PA0404	-	0.66	0.12	0.26	0.12	K07447	COG0816	DNA replication, recombination, and repair
PA0405	-	0.72	0.33	0.38	0.11	K07735	COG1678	Transcription
PA0406	-	1.13	0.8	0.63	0.77	K03832	COG0810	Cell envelope biogenesis, outer membrane
PA0407	gshB	1.82	0.11	0.58	0.55	K01920	COG0189	Coenzyme metabolism / Translation, ribosomal structure and biogenesis
PA0408	pilG	0.77	0.29	0.21	0.00000024	K02657	COG0745	Signal transduction mechanisms / Transcription
PA0409	pilH	0.7	0.12	0.18	0.0000074	K02658	COG0745	Signal transduction mechanisms / Transcription
PA0410	pilI	0.56	0.048	0.21	0.0012	K02659	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA0411	pilJ	0.85	0.41	0.37	0.0039	K02660	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA0412	pilK	0.91	0.55	0.29	0.0034	K02661	COG1352	Cell motility and secretion / Signal transduction mechanisms
PA0413	chpA	0.83	0.41	0.58	0.21	K02487;K06596	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA0414	chpB	0.63	0.1	0.41	0.056	K06597	COG2201	Cell motility and secretion / Signal transduction mechanisms
PA0415	chpC	1.19	0.83	1.6	0.41	K06598	-	-
PA0416	chpD	1.02	0.83	0.43	0.57	K06599	COG2207	Transcription
PA0417	chpE	1.49	0.44	2.88	0.65	K06600	COG1280	Amino acid transport and metabolism
PA0418	-	0.86	0.94	1.31	0.7	-	-	-
PA0419	-	0.42	0.14	0.4	0.36	K09761	COG1385	Function unknown
PA0420	bioA	0.27	0.000044	0.18	0.000041	K00833	COG0161	Coenzyme metabolism
PA0421	-	0.58	0.1	3.74	0.0053	K00274	COG1231	Amino acid transport and metabolism
PA0422	-	0.92	0.55	0.27	0.024	-	COG3038	Energy production and conversion
PA0423	pasP	1.09	1	0.33	0.0016	-	COG2353	Function unknown
PA0424	mexR	0.63	0.27	0.31	0.17	-	COG1846	Transcription
PA0425	mexA	1	0.81	0.32	0.0082	K03585	COG0845	Cell envelope biogenesis, outer membrane
PA0426	mexB	0.51	0.014	0.36	0.0068	K03296	COG0841	Defense mechanisms
PA0427	oprM	0.79	0.41	0.65	0.32	-	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA0428	-	0.36	0.0012	0.38	0.076	K11927	COG0513	DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis
PA0429	-	0.64	0.14	0.28	0.0027	-	-	-
PA0430	metF	0.3	0.000015	0.18	0.00027	K00297	COG0685	Amino acid transport and metabolism
PA0431	-	0.34	0.0015	0.19	0.016	-	COG0317	Signal transduction mechanisms / Transcription
PA0432	sahH	0.51	0.029	0.39	0.0079	K01251	COG0499	Coenzyme metabolism
PA0433	-	1.41	0.4	2.31	0.73	-	-	-
PA0434	-	2.52	0.077	4.64	0.23	K02014	COG1629	Inorganic ion transport and metabolism
PA0435	-	2.96	0.024	4.07	0.29	-	-	-
PA0436	-	2.15	0.32	0.3	0.027	K09017	COG1309	Transcription
PA0437	codA	0.34	0.015	0.29	0.29	K01485	COG0402	Nucleotide transport and metabolism / General function prediction only
PA0438	codB	0.41	0.047	0.52	0.8	K10974	COG1457	Nucleotide transport and metabolism
PA0439	-	2.23	0.16	5.27	0.19	K00207	COG0167	Nucleotide transport and metabolism
PA0440	-	2.25	0.42	8.22	0.19	K00266	COG0493	Amino acid transport and metabolism / General function prediction only
PA0441	-	3.69	0.016	12.69	0.011	K01464	COG0044	Nucleotide transport and metabolism
PA0442	-	2.87	0.52	2.49	0.71	-	-	-
PA0443	-	14.46	0.12	36.69	2.9E-12	K03457	COG1953	Nucleotide transport and metabolism / Coenzyme metabolism
PA0444	-	2.48	0.078	8.09	0.016	K06016	COG0624	Amino acid transport and metabolism
PA0445	-	0.7	0.45	0.41	0.47	K07486	COG3547	DNA replication, recombination, and repair
PA0446	-	1.57	0.57	2.73	0.25	-	COG1804	Energy production and conversion
PA0447	gcdH	2.25	0.11	3.49	0.093	K00252	COG1960	Lipid metabolism
PA0448	-	0.6	0.31	0.62	0.61	-	COG0583	Transcription
PA0449	-	0.53	0.1	1.2	0.81	-	COG1607	Lipid metabolism
PA0450	-	12.99	2.6E-15	10.69	0.65	K03306	COG0306	Inorganic ion transport and metabolism
PA0451	-	18.09	0.0098	3.74	0.27	K07403	COG1030	Posttranslational modification, protein turnover, chaperones
PA0452	-	9.85	0.000038	4.7	0.23	-	COG0330	Posttranslational modification, protein turnover, chaperones
PA0453	-	166.91	1.3E-58	110.78	0.1	-	-	-
PA0454	-	0.63	0.35	1.25	0.86	-	COG1289	Function unknown
PA0455	dbpA	0.38	0.0084	0.39	0.31	K05591	COG0513	DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis
PA0456	-	0.41	0.0014	0.13	4.5E-11	K03704	COG1278	Transcription
PA0457	-	0.84	0.92	0.66	0.68	-	COG4067	Posttranslational modification, protein turnover, chaperones
PA0457.1	-	0.79	0.65	0.55	0.83	-	-	-
PA0458	-	0.82	0.65	0.52	0.63	-	-	-
PA0459	-	6.24	2.7E-11	5.73	0.18	K03696	COG0542	Posttranslational modification, protein turnover, chaperones
PA0460	-	2.85	0.0064	3.12	0.19	-	-	-
PA0461	-	0.29	0.00015	0.28	0.014	-	COG0204	Lipid metabolism
PA0462	-	3.28	0.0012	4.52	0.022	-	COG4067	Posttranslational modification, protein turnover, chaperones
PA0463	creB	0.77	0.7	0.92	0.82	K07663	COG0745	Signal transduction mechanisms / Transcription
PA0464	creC	2.86	0.1	6.23	0.00028	K07641	COG0642	Signal transduction mechanisms
PA0465	creD	11.91	5.5E-15	2.7	0.24	K06143	COG4452	Defense mechanisms
PA0466	-	7.43	0.0000002	3.24	0.34	-	-	-
PA0467	-	2.24	0.16	0.51	0.94	-	COG0625	Posttranslational modification, protein turnover, chaperones
PA0468	-	1.96	0.059	2.13	0.55	-	COG4257	Defense mechanisms
PA0469	-	1.95	0.23	4.36	0.00047	-	-	-
PA0470	fiuA	3.92	0.002	34.31	1.3E-13	K02014	COG1629	Inorganic ion transport and metabolism
PA0471	-	1.45	0.22	8.8	0.0000046	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA0472	-	5.62	0.099	5.59	0.3	K03088	COG1595	Transcription
PA0473	-	0.73	0.58	0.44	0.69	-	COG0625	Posttranslational modification, protein turnover, chaperones
PA0474	-	8.85	0.21	25.05	0.24	-	COG2050	Secondary metabolites biosynthesis,    transport, and catabolism
PA0475	-	1.96	0.44	23.61	0.00027	-	COG1309	Transcription
PA0476	-	2.07	0.04	1.19	0.94	K03457	COG1953	Nucleotide transport and metabolism / Coenzyme metabolism
PA0477	-	1	0.85	0.28	0.76	-	COG0583	Transcription
PA0478	-	1.1	0.72	2.98	0.31	-	-	-
PA0479	-	1.82	0.32	1.42	0.68	-	COG0583	Transcription
PA0480	-	2.31	0.3	13.3	0.42	K01055	COG0596	General function prediction only
PA0481	-	0.41	0.11	0.86	0.89	-	-	-
PA0482	glcB	0.98	0.98	0.66	0.53	K01638	COG2225	Energy production and conversion
PA0483	-	3.81	0.25	1.06	1	-	COG0456	General function prediction only
PA0484	-	2.77	0.052	1.33	0.53	-	COG2716	Amino acid transport and metabolism
PA0485	-	0.28	0.0001	0.2	0.0033	K05786	COG2962	General function prediction only
PA0486	-	0.78	0.46	0.97	0.69	-	COG2334	General function prediction only
PA0487	-	0.47	0.046	0.44	0.37	K02019	COG2005	General function prediction only
PA0488	-	1.14	0.76	0.56	0.99	K05811	COG5544	General function prediction only
PA0489	-	2.72	0.31	5.55	0.47	-	COG1040	General function prediction only
PA0490	-	1.75	0.25	1.47	0.74	-	-	-
PA0491	-	0.9	1	1.04	1	-	COG0583	Transcription
PA0492	-	14.31	0.12	9.42	0.098	K07160	COG1540	General function prediction only
PA0493	-	1.56	0.74	0.58	1	-	COG0511	Lipid metabolism
PA0494	-	1.29	0.61	3.29	0.45	K01961	COG0439	Lipid metabolism
PA0495	-	1.65	0.27	4.1	0.18	-	COG2049	Amino acid transport and metabolism
PA0496	-	2.54	0.31	2.19	0.51	-	COG1984	Amino acid transport and metabolism
PA0497	-	3.23	0.024	5.42	0.11	-	-	-
PA0498	-	2.97	0.007	4.93	0.067	-	-	-
PA0499	-	2.87	0.21	3.17	0.36	-	COG3121	Cell motility and secretion / Intracellular trafficking and secretion
PA0500	bioB	0.16	0.00000011	0.26	0.0096	K01012	COG0502	Coenzyme metabolism
PA0501	bioF	0.34	0.0054	0.61	0.54	K00652	COG0156	Coenzyme metabolism
PA0502	-	0.26	0.000053	0.39	0.23	K02170	COG0596	General function prediction only
PA0503	-	0.16	0.00018	0.38	0.43	K02169	COG2226	Coenzyme metabolism
PA0504	bioD	0.25	0.017	0.73	0.6	K01935	COG0132	Coenzyme metabolism
PA0505	-	0.84	0.56	0.52	0.38	-	-	-
PA0506	-	6.56	5.1E-11	3.47	0.0023	K00257	COG1960	Lipid metabolism
PA0507	-	1.6	0.5	4.89	0.039	K00257	COG1960	Lipid metabolism
PA0508	-	3.54	0.00016	3.21	0.015	K00257	COG1960	Lipid metabolism
PA0509	nirN	3.05	0.0056	1.31	0.71	K15864	COG2010	Energy production and conversion
PA0510	-	5.87	0.00000092	3.92	0.23	K02303	COG0007	Coenzyme metabolism
PA0511	nirJ	8.61	5.1E-10	6.22	0.0089	-	COG0535	General function prediction only
PA0512	-	8.51	0.0000044	3.36	0.049	-	COG1522	Transcription
PA0513	-	11.95	6.9E-09	8.57	0.099	-	COG1522	Transcription
PA0514	nirL	31.47	0.00000083	11.65	0.0099	-	COG1522	Transcription
PA0515	-	17.29	6.3E-10	11.28	0.15	-	COG1522	Transcription
PA0516	nirF	9.07	8E-11	9.12	0.00034	-	COG3391	Function unknown
PA0517	nirC	11.78	0.000000001	25.48	7.7E-11	-	COG2010	Energy production and conversion
PA0518	nirM	6.77	4.9E-10	6.01	0.00046	-	COG4654	Energy production and conversion
PA0519	nirS	9.97	5.1E-17	8.5	0.000000018	K15864	COG2010	Energy production and conversion
PA0520	nirQ	2.49	0.0078	1.99	0.36	K04748	COG0714	General function prediction only
PA0521	-	4.54	0.01	12.3	0.0081	K02164	COG1845	Energy production and conversion
PA0522	-	2.84	0.49	4.66	0.43	-	-	-
PA0523	norC	21.02	7.1E-16	34.41	2.9E-10	K02305	-	-
PA0524	norB	23.97	2.9E-17	36.37	1.7E-16	K04561	COG3256	Inorganic ion transport and metabolism
PA0525	-	24.4	2E-18	41.54	7.6E-12	K02448	COG4548	Inorganic ion transport and metabolism
PA0526	-	3.41	0.05	2.52	0.27	-	-	-
PA0527	-	0.86	0.68	0.19	0.04	-	COG0664	Signal transduction mechanisms
PA0527.1	rsmY	0.19	1.6E-10	0.18	7.3E-13	-	-	-
PA0528	-	1.05	0.96	3.86	0.32	-	COG0583	Transcription
PA0529	-	0.38	0.0017	0.24	0.066	-	COG2258	Function unknown
PA0530	-	0.8	0.57	3.86	0.0097	K00821	COG4992	Amino acid transport and metabolism
PA0531	-	2	0.18	6.23	0.027	-	COG0518	Nucleotide transport and metabolism
PA0532	-	1.37	0.59	2.24	0.6	-	-	-
PA0533	-	0.85	0.75	0.92	1	-	COG2197	Signal transduction mechanisms / Transcription
PA0534	-	4.37	0.00038	15.84	0.00000048	-	COG0665	Amino acid transport and metabolism
PA0535	-	0.65	0.33	1.61	0.61	-	COG1396	Transcription
PA0536	-	2.08	0.016	3.1	0.1	K06872	COG1512	General function prediction only
PA0537	-	0.83	0.48	0.76	0.78	K03744	COG1704	Function unknown
PA0538	dsbB	0.77	0.66	0.51	0.77	K03611	COG1495	Posttranslational modification, protein turnover, chaperones
PA0539	-	2.46	0.36	2.39	0.29	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA0540	-	1.12	0.86	0.99	0.93	-	COG3686	Function unknown
PA0541	-	0.57	0.13	0.31	0.082	-	COG3909	Energy production and conversion
PA0542	-	0.46	0.017	0.16	0.0007	-	-	-
PA0543	-	5.67	0.000018	6.21	0.022	K03932	COG3509	Secondary metabolites biosynthesis, transport, and catabolism
PA0544	-	1.05	0.95	1.18	0.9	-	-	-
PA0545	-	5.97	4.4E-09	1.68	0.3	-	COG4097	Inorganic ion transport and metabolism
PA0546	metK	0.54	0.063	0.3	0.0066	K00789	COG0192	Coenzyme metabolism
PA0547	-	1.1	0.74	0.5	0.094	K03892	COG2226	Coenzyme metabolism
PA0548	tktA	0.26	0.0000025	0.21	0.00000034	K00615	COG0021	Carbohydrate transport and metabolism
PA0549	-	0.28	0.00011	0.23	0.013	-	-	-
PA0550	-	0.4	0.095	0.57	1	K01816	COG3622	Carbohydrate transport and metabolism
PA0551	-	0.15	1.6E-09	0.1	0.00000019	K03472	COG0057	Carbohydrate transport and metabolism
PA0552	-	0.16	3.1E-10	0.18	0.00000036	K00927	COG0126	Carbohydrate transport and metabolism
PA0553	-	1.6	0.39	2.33	0.8	-	-	-
PA0554	-	0.43	0.0073	0.23	0.000045	-	-	-
PA0555	-	0.36	0.000065	0.27	0.000018	K01624	COG0191	Carbohydrate transport and metabolism
PA0556	-	0.46	0.083	0.61	0.8	-	-	-
PA0557	-	1.29	0.71	1.3	0.76	-	COG4319	Function unknown
PA0558	-	1.11	0.6	1.29	1	-	COG2226	Coenzyme metabolism
PA0559	-	0.59	0.18	0.61	0.65	K07007	COG2081	General function prediction only
PA0560	-	0.65	0.45	0.66	0.87	K07043	COG1451	General function prediction only
PA0561	-	0.46	0.025	0.4	0.17	-	-	-
PA0562	-	0.62	0.41	0.32	0.6	-	COG0637	General function prediction only
PA0563	-	0.26	0.000004	0.29	0.0012	-	COG3152	Function unknown
PA0564	-	1.17	0.93	2.42	0.53	-	COG2207	Transcription
PA0565	-	2.77	0.28	7.05	0.04	-	COG0599	Function unknown
PA0566	-	1.31	0.67	0.43	0.66	-	-	-
PA0567	-	6.12	0.42	6.41	0.18	-	COG0401	Function unknown
PA0568	-	0.63	0.1	0.23	0.019	-	-	-
PA0569	-	0.52	0.28	0.98	1	-	-	-
PA0570	-	1.25	0.9	2.13	0.84	-	-	-
PA0571	-	1.09	1	0.46	0.28	-	-	-
PA0572	-	41.83	0.00017	7.66	0.00036	-	-	-
PA0573	-	0.83	0.95	1.86	0.52	-	-	-
PA0574	-	0.53	0.051	0.39	0.095	-	COG3177	Function unknown
PA0575	-	3.8	0.029	2.6	0.35	-	COG5001	Signal transduction mechanisms
PA0576	rpoD	0.38	0.00068	0.35	0.0017	K03086	COG0568	Transcription
PA0577	dnaG	0.46	0.021	0.34	0.0081	K02316	COG0358	DNA replication, recombination, and repair
PA0578	-	0.64	0.26	0.52	0.2	K09117	COG1610	Function unknown
PA0579	rpsU	0.32	0.000027	0.08	3.2E-15	K02970	COG0828	Translation, ribosomal structure and biogenesis
PA0580	-	0.3	0.000079	0.13	0.000045	K01409	COG0533	Posttranslational modification, protein turnover, chaperones
PA0581	-	0.69	0.46	0.3	0.099	K08591	COG0344	Function unknown
PA0582	folB	0.19	0.00000015	0.09	0.000027	K01633	COG1539	Coenzyme metabolism
PA0583	-	0.19	0.000015	0.18	0.0066	K00950	COG0801	Coenzyme metabolism
PA0584	-	0.81	0.38	0.58	0.51	K00974	COG0617	Translation, ribosomal structure and biogenesis
PA0585	-	10.93	0.082	5.07	0.6	-	-	-
PA0586	-	27.95	0.0000045	6.82	0.00045	-	COG2719	Function unknown
PA0587	-	40.84	0.0000012	5.26	0.15	K09786	COG2718	Function unknown
PA0588	-	34.78	1.2E-34	12.58	0.14	K07180	COG2766	Signal transduction mechanisms
PA0589	-	0.59	0.48	1.14	0.98	K02439	COG0607	Inorganic ion transport and metabolism
PA0590	apaH	0.72	0.24	0.39	0.29	K01525	-	-
PA0591	-	0.9	0.88	0.45	0.24	K06195	COG2967	Inorganic ion transport and metabolism
PA0592	ksgA	0.28	0.00018	0.29	0.0074	K02528	COG0030	Translation, ribosomal structure and biogenesis
PA0593	pdxA	0.42	0.0051	0.22	0.044	K00097	COG1995	Coenzyme metabolism
PA0594	surA	0.5	0.037	0.32	0.00082	K03771	COG0760	Posttranslational modification, protein turnover, chaperones
PA0595	ostA	0.44	0.0041	0.44	0.008	K04744	COG1452	Cell envelope biogenesis, outer membrane
PA0596	-	4.29	0.00000019	1.42	0.43	K07102	COG3178	General function prediction only
PA0597	-	1.46	0.54	1.15	0.78	-	COG1208	Cell envelope biogenesis, outer membrane / Translation, ribosomal structure and biogenesis
PA0598	-	1.48	0.49	1.77	0.38	K05801	COG1076	Posttranslational modification, protein turnover, chaperones
PA0599	-	1.27	0.53	1.44	0.51	-	-	-
PA0600	-	1.66	0.14	2.24	0.065	-	COG4585	Signal transduction mechanisms
PA0601	-	1.28	0.79	0.67	0.74	-	COG2197	Signal transduction mechanisms / Transcription
PA0602	-	0.98	0.8	0.83	0.94	K02055	COG0687	Amino acid transport and metabolism
PA0603	-	0.31	0.00034	0.52	0.32	K02052	COG3842	Amino acid transport and metabolism
PA0604	-	0.15	1.8E-09	0.19	0.0002	K02055	COG0687	Amino acid transport and metabolism
PA0605	-	0.49	0.2	0.6	0.88	K02054	COG1176	Amino acid transport and metabolism
PA0606	-	0.4	0.066	0.63	0.68	K02053	COG1177	Amino acid transport and metabolism
PA0607	-	0.43	0.0055	0.17	0.0007	K01783	COG0036	Carbohydrate transport and metabolism
PA0608	-	0.33	0.0002	0.17	0.000026	K01091	COG0546	General function prediction only
PA0609	trpE	0.35	0.00042	0.17	0.0000005	K01657	COG0147	Amino acid transport and metabolism / Coenzyme metabolism
PA0610	prtN	4.23	0.0054	1.29	0.83	-	-	-
PA0611	prtR	0.9	0.89	0.41	0.039	-	COG2932	Transcription
PA0612	ptrB	3.16	0.00086	1.11	0.74	-	COG1734	Signal transduction mechanisms
PA0613	-	1.86	0.034	0.38	0.17	-	-	-
PA0614	-	0.96	0.74	0.22	0.00047	-	-	-
PA0615	-	1.67	0.18	0.71	0.35	-	-	-
PA0616	-	0.96	0.98	0.44	0.07	-	COG4540	General function prediction only
